asn,prefix,as_path
35001,1.2.3.0/24,"(35001, 16276, 2152, 25)"
24851,1.2.3.0/24,"(24851, 16276, 2152, 25)"
19853,1.2.3.0/24,"(19853, 16276, 2152, 25)"
19343,1.2.3.0/24,"(19343, 16276, 2152, 25)"
18631,1.2.3.0/24,"(18631, 16276, 2152, 25)"
5464,1.2.3.0/24,"(5464, 16276, 2152, 25)"
3280,1.2.3.0/24,"(3280, 16276, 2152, 25)"
199873,1.2.3.0/24,"(199873, 16509, 2152, 25)"
62654,1.2.3.0/24,"(62654, 21859, 2152, 25)"
400262,1.2.3.0/24,"(400262, 16276, 2152, 25)"
48283,1.2.3.0/24,"(48283, 49544, 2152, 25)"
22556,1.2.3.0/24,"(22556, 54825, 2152, 25)"
14362,1.2.3.0/24,"(14362, 54825, 2152, 25)"
11892,1.2.3.0/24,"(11892, 54825, 2152, 25)"
834,1.2.3.0/24,"(834, 54825, 2152, 25)"
396982,1.2.3.0/24,"(396982, 15169, 2152, 25)"
396178,1.2.3.0/24,"(396178, 15169, 2152, 25)"
36492,1.2.3.0/24,"(36492, 15169, 2152, 25)"
33715,1.2.3.0/24,"(33715, 15169, 2152, 25)"
15236,1.2.3.0/24,"(15236, 17072, 2152, 25)"
6950,1.2.3.0/24,"(6950, 19151, 2152, 25)"
272336,1.2.3.0/24,"(272336, 17072, 2152, 25)"
401654,1.2.3.0/24,"(401654, 16509, 2152, 25)"
401587,1.2.3.0/24,"(401587, 16509, 2152, 25)"
401416,1.2.3.0/24,"(401416, 16509, 2152, 25)"
400928,1.2.3.0/24,"(400928, 16509, 2152, 25)"
213635,1.2.3.0/24,"(213635, 16509, 2152, 25)"
64269,1.2.3.0/24,"(64269, 15169, 2152, 25)"
61162,1.2.3.0/24,"(61162, 16509, 2152, 25)"
27613,1.2.3.0/24,"(27613, 16509, 2152, 25)"
26341,1.2.3.0/24,"(26341, 16509, 2152, 25)"
8011,1.2.3.0/24,"(8011, 16509, 2152, 25)"
801,1.2.3.0/24,"(801, 16509, 2152, 25)"
