asn,prefix,as_path
394286,1.2.0.0/16,"(394286, 20115, 2152, 25)"
63369,1.2.0.0/16,"(63369, 20115, 2152, 25)"
55187,1.2.0.0/16,"(55187, 20115, 2152, 25)"
55024,1.2.0.0/16,"(55024, 20115, 2152, 25)"
54124,1.2.0.0/16,"(54124, 20115, 2152, 25)"
46927,1.2.0.0/16,"(46927, 20115, 2152, 25)"
40754,1.2.0.0/16,"(40754, 20115, 2152, 25)"
36094,1.2.0.0/16,"(36094, 20115, 2152, 25)"
33032,1.2.0.0/16,"(33032, 20115, 2152, 25)"
32582,1.2.0.0/16,"(32582, 20115, 2152, 25)"
26429,1.2.0.0/16,"(26429, 20115, 2152, 25)"
26345,1.2.0.0/16,"(26345, 20115, 2152, 25)"
22710,1.2.0.0/16,"(22710, 20115, 2152, 25)"
16470,1.2.0.0/16,"(16470, 20115, 2152, 25)"
16389,1.2.0.0/16,"(16389, 20115, 2152, 25)"
14389,1.2.0.0/16,"(14389, 20115, 2152, 25)"
401233,1.2.0.0/16,"(401233, 19151, 2152, 25)"
62299,1.2.0.0/16,"(62299, 19151, 2152, 25)"
22275,1.2.0.0/16,"(22275, 19151, 2152, 25)"
19128,1.2.0.0/16,"(19128, 19151, 2152, 25)"
12110,1.2.0.0/16,"(12110, 19151, 2152, 25)"
7013,1.2.0.0/16,"(7013, 19151, 2152, 25)"
1083,1.2.0.0/16,"(1083, 19151, 2152, 25)"
23952,1.2.0.0/16,"(23952, 199524, 2152, 25)"
209173,1.2.0.0/16,"(209173, 21859, 2152, 25)"
401783,1.2.0.0/16,"(401783, 21859, 2152, 25)"
395961,1.2.0.0/16,"(395961, 20115, 2152, 25)"
28414,1.2.0.0/16,"(28414, 17072, 2152, 25)"
19259,1.2.0.0/16,"(19259, 17072, 2152, 25)"
7184,1.2.0.0/16,"(7184, 17072, 2152, 25)"
2708,1.2.0.0/16,"(2708, 17072, 2152, 25)"
401921,1.2.0.0/16,"(401921, 16509, 2152, 25)"
401493,1.2.0.0/16,"(401493, 16509, 2152, 25)"
401305,1.2.0.0/16,"(401305, 16509, 2152, 25)"
209975,1.2.0.0/16,"(209975, 16509, 2152, 25)"
208681,1.2.0.0/16,"(208681, 16509, 2152, 25)"
205059,1.2.0.0/16,"(205059, 16509, 2152, 25)"
205023,1.2.0.0/16,"(205023, 16509, 2152, 25)"
198812,1.2.0.0/16,"(198812, 16509, 2152, 25)"
197014,1.2.0.0/16,"(197014, 16509, 2152, 25)"
153661,1.2.0.0/16,"(153661, 16509, 2152, 25)"
152744,1.2.0.0/16,"(152744, 16509, 2152, 25)"
152668,1.2.0.0/16,"(152668, 16509, 2152, 25)"
63046,1.2.0.0/16,"(63046, 16509, 2152, 25)"
60044,1.2.0.0/16,"(60044, 16509, 2152, 25)"
44196,1.2.0.0/16,"(44196, 16509, 2152, 25)"
43090,1.2.0.0/16,"(43090, 16509, 2152, 25)"
22348,1.2.0.0/16,"(22348, 16509, 2152, 25)"
21664,1.2.0.0/16,"(21664, 16509, 2152, 25)"
21239,1.2.0.0/16,"(21239, 16509, 2152, 25)"
19198,1.2.0.0/16,"(19198, 16509, 2152, 25)"
16238,1.2.0.0/16,"(16238, 16509, 2152, 25)"
393960,1.2.0.0/16,"(393960, 199524, 2152, 25)"
401846,1.2.0.0/16,"(401846, 16276, 2152, 25)"
401178,1.2.0.0/16,"(401178, 16276, 2152, 25)"
401004,1.2.0.0/16,"(401004, 16276, 2152, 25)"
400987,1.2.0.0/16,"(400987, 16276, 2152, 25)"
400912,1.2.0.0/16,"(400912, 16276, 2152, 25)"
399605,1.2.0.0/16,"(399605, 16276, 2152, 25)"
399603,1.2.0.0/16,"(399603, 16276, 2152, 25)"
399464,1.2.0.0/16,"(399464, 16276, 2152, 25)"
399304,1.2.0.0/16,"(399304, 16276, 2152, 25)"
215311,1.2.0.0/16,"(215311, 16276, 2152, 25)"
215117,1.2.0.0/16,"(215117, 16276, 2152, 25)"
215039,1.2.0.0/16,"(215039, 16276, 2152, 25)"
214851,1.2.0.0/16,"(214851, 16276, 2152, 25)"
214498,1.2.0.0/16,"(214498, 16276, 2152, 25)"
214346,1.2.0.0/16,"(214346, 16276, 2152, 25)"
213888,1.2.0.0/16,"(213888, 16276, 2152, 25)"
42969,1.2.0.0/16,"(42969, 21859, 2152, 25)"
213427,1.2.0.0/16,"(213427, 16276, 2152, 25)"
213412,1.2.0.0/16,"(213412, 16276, 2152, 25)"
211377,1.2.0.0/16,"(211377, 16276, 2152, 25)"
210814,1.2.0.0/16,"(210814, 16276, 2152, 25)"
210734,1.2.0.0/16,"(210734, 16276, 2152, 25)"
209003,1.2.0.0/16,"(209003, 16276, 2152, 25)"
208796,1.2.0.0/16,"(208796, 16276, 2152, 25)"
207536,1.2.0.0/16,"(207536, 16276, 2152, 25)"
207043,1.2.0.0/16,"(207043, 16276, 2152, 25)"
206373,1.2.0.0/16,"(206373, 16276, 2152, 25)"
206275,1.2.0.0/16,"(206275, 16276, 2152, 25)"
204487,1.2.0.0/16,"(204487, 16276, 2152, 25)"
203728,1.2.0.0/16,"(203728, 16276, 2152, 25)"
202172,1.2.0.0/16,"(202172, 16276, 2152, 25)"
201693,1.2.0.0/16,"(201693, 16276, 2152, 25)"
201103,1.2.0.0/16,"(201103, 16276, 2152, 25)"
198119,1.2.0.0/16,"(198119, 16276, 2152, 25)"
197561,1.2.0.0/16,"(197561, 16276, 2152, 25)"
64476,1.2.0.0/16,"(64476, 16276, 2152, 25)"
62098,1.2.0.0/16,"(62098, 16276, 2152, 25)"
61120,1.2.0.0/16,"(61120, 16276, 2152, 25)"
58052,1.2.0.0/16,"(58052, 16276, 2152, 25)"
57935,1.2.0.0/16,"(57935, 16276, 2152, 25)"
57878,1.2.0.0/16,"(57878, 16276, 2152, 25)"
52221,1.2.0.0/16,"(52221, 16276, 2152, 25)"
51078,1.2.0.0/16,"(51078, 16276, 2152, 25)"
48136,1.2.0.0/16,"(48136, 16276, 2152, 25)"
47392,1.2.0.0/16,"(47392, 16276, 2152, 25)"
47062,1.2.0.0/16,"(47062, 16276, 2152, 25)"
46998,1.2.0.0/16,"(46998, 16276, 2152, 25)"
44001,1.2.0.0/16,"(44001, 16276, 2152, 25)"
40442,1.2.0.0/16,"(40442, 16276, 2152, 25)"
40279,1.2.0.0/16,"(40279, 16276, 2152, 25)"
35540,1.2.0.0/16,"(35540, 16276, 2152, 25)"
35001,1.2.0.0/16,"(35001, 16276, 2152, 25)"
24851,1.2.0.0/16,"(24851, 16276, 2152, 25)"
19853,1.2.0.0/16,"(19853, 16276, 2152, 25)"
19343,1.2.0.0/16,"(19343, 16276, 2152, 25)"
18631,1.2.0.0/16,"(18631, 16276, 2152, 25)"
5464,1.2.0.0/16,"(5464, 16276, 2152, 25)"
3280,1.2.0.0/16,"(3280, 16276, 2152, 25)"
199873,1.2.0.0/16,"(199873, 16509, 2152, 25)"
62654,1.2.0.0/16,"(62654, 21859, 2152, 25)"
400262,1.2.0.0/16,"(400262, 16276, 2152, 25)"
48283,1.2.0.0/16,"(48283, 49544, 2152, 25)"
22556,1.2.0.0/16,"(22556, 54825, 2152, 25)"
14362,1.2.0.0/16,"(14362, 54825, 2152, 25)"
11892,1.2.0.0/16,"(11892, 54825, 2152, 25)"
834,1.2.0.0/16,"(834, 54825, 2152, 25)"
396982,1.2.0.0/16,"(396982, 15169, 2152, 25)"
396178,1.2.0.0/16,"(396178, 15169, 2152, 25)"
36492,1.2.0.0/16,"(36492, 15169, 2152, 25)"
33715,1.2.0.0/16,"(33715, 15169, 2152, 25)"
15236,1.2.0.0/16,"(15236, 17072, 2152, 25)"
6950,1.2.0.0/16,"(6950, 19151, 2152, 25)"
272336,1.2.0.0/16,"(272336, 17072, 2152, 25)"
401654,1.2.0.0/16,"(401654, 16509, 2152, 25)"
401587,1.2.0.0/16,"(401587, 16509, 2152, 25)"
401416,1.2.0.0/16,"(401416, 16509, 2152, 25)"
400928,1.2.0.0/16,"(400928, 16509, 2152, 25)"
213635,1.2.0.0/16,"(213635, 16509, 2152, 25)"
64269,1.2.0.0/16,"(64269, 15169, 2152, 25)"
61162,1.2.0.0/16,"(61162, 16509, 2152, 25)"
27613,1.2.0.0/16,"(27613, 16509, 2152, 25)"
26341,1.2.0.0/16,"(26341, 16509, 2152, 25)"
8011,1.2.0.0/16,"(8011, 16509, 2152, 25)"
801,1.2.0.0/16,"(801, 16509, 2152, 25)"
58524,1.2.0.0/16,"(58524, 14593, 2152, 25)"
40714,1.2.0.0/16,"(40714, 14593, 2152, 25)"
27948,1.2.0.0/16,"(27948, 14593, 2152, 25)"
398876,1.2.0.0/16,"(398876, 14265, 2152, 25)"
397858,1.2.0.0/16,"(397858, 14265, 2152, 25)"
397850,1.2.0.0/16,"(397850, 14265, 2152, 25)"
63443,1.2.0.0/16,"(63443, 14265, 2152, 25)"
40218,1.2.0.0/16,"(40218, 14265, 2152, 25)"
33748,1.2.0.0/16,"(33748, 14265, 2152, 25)"
33625,1.2.0.0/16,"(33625, 14265, 2152, 25)"
32928,1.2.0.0/16,"(32928, 14265, 2152, 25)"
27607,1.2.0.0/16,"(27607, 14265, 2152, 25)"
27001,1.2.0.0/16,"(27001, 14265, 2152, 25)"
26032,1.2.0.0/16,"(26032, 14265, 2152, 25)"
23526,1.2.0.0/16,"(23526, 14265, 2152, 25)"
23322,1.2.0.0/16,"(23322, 14265, 2152, 25)"
21912,1.2.0.0/16,"(21912, 14265, 2152, 25)"
20246,1.2.0.0/16,"(20246, 14265, 2152, 25)"
18949,1.2.0.0/16,"(18949, 14265, 2152, 25)"
16521,1.2.0.0/16,"(16521, 14265, 2152, 25)"
12168,1.2.0.0/16,"(12168, 14265, 2152, 25)"
10951,1.2.0.0/16,"(10951, 14265, 2152, 25)"
46502,1.2.0.0/16,"(46502, 20115, 2152, 25)"
394725,1.2.0.0/16,"(394725, 15169, 2152, 25)"
396425,1.2.0.0/16,"(396425, 14041, 2152, 25)"
62671,1.2.0.0/16,"(62671, 14041, 2152, 25)"
36691,1.2.0.0/16,"(36691, 14041, 2152, 25)"
17207,1.2.0.0/16,"(17207, 14041, 2152, 25)"
16519,1.2.0.0/16,"(16519, 14041, 2152, 25)"
2902,1.2.0.0/16,"(2902, 14041, 2152, 25)"
194,1.2.0.0/16,"(194, 14041, 2152, 25)"
63221,1.2.0.0/16,"(63221, 19151, 2152, 25)"
11684,1.2.0.0/16,"(11684, 20115, 2152, 25)"
272399,1.2.0.0/16,"(272399, 17072, 2152, 25)"
396182,1.2.0.0/16,"(396182, 20115, 2152, 25)"
401782,1.2.0.0/16,"(401782, 13335, 2152, 25)"
401297,1.2.0.0/16,"(401297, 13335, 2152, 25)"
401141,1.2.0.0/16,"(401141, 13335, 2152, 25)"
400797,1.2.0.0/16,"(400797, 13335, 2152, 25)"
400566,1.2.0.0/16,"(400566, 13335, 2152, 25)"
399939,1.2.0.0/16,"(399939, 13335, 2152, 25)"
399798,1.2.0.0/16,"(399798, 13335, 2152, 25)"
399358,1.2.0.0/16,"(399358, 13335, 2152, 25)"
399088,1.2.0.0/16,"(399088, 13335, 2152, 25)"
398561,1.2.0.0/16,"(398561, 13335, 2152, 25)"
398116,1.2.0.0/16,"(398116, 13335, 2152, 25)"
397749,1.2.0.0/16,"(397749, 13335, 2152, 25)"
397341,1.2.0.0/16,"(397341, 13335, 2152, 25)"
397322,1.2.0.0/16,"(397322, 13335, 2152, 25)"
397133,1.2.0.0/16,"(397133, 13335, 2152, 25)"
396875,1.2.0.0/16,"(396875, 13335, 2152, 25)"
396223,1.2.0.0/16,"(396223, 13335, 2152, 25)"
395989,1.2.0.0/16,"(395989, 13335, 2152, 25)"
395784,1.2.0.0/16,"(395784, 13335, 2152, 25)"
395778,1.2.0.0/16,"(395778, 13335, 2152, 25)"
395480,1.2.0.0/16,"(395480, 13335, 2152, 25)"
394302,1.2.0.0/16,"(394302, 13335, 2152, 25)"
394169,1.2.0.0/16,"(394169, 13335, 2152, 25)"
394138,1.2.0.0/16,"(394138, 13335, 2152, 25)"
393985,1.2.0.0/16,"(393985, 13335, 2152, 25)"
393883,1.2.0.0/16,"(393883, 13335, 2152, 25)"
393409,1.2.0.0/16,"(393409, 13335, 2152, 25)"
393247,1.2.0.0/16,"(393247, 13335, 2152, 25)"
329068,1.2.0.0/16,"(329068, 13335, 2152, 25)"
328486,1.2.0.0/16,"(328486, 13335, 2152, 25)"
328093,1.2.0.0/16,"(328093, 13335, 2152, 25)"
327977,1.2.0.0/16,"(327977, 13335, 2152, 25)"
327888,1.2.0.0/16,"(327888, 13335, 2152, 25)"
327884,1.2.0.0/16,"(327884, 13335, 2152, 25)"
327784,1.2.0.0/16,"(327784, 13335, 2152, 25)"
270681,1.2.0.0/16,"(270681, 13335, 2152, 25)"
270631,1.2.0.0/16,"(270631, 13335, 2152, 25)"
264820,1.2.0.0/16,"(264820, 13335, 2152, 25)"
263876,1.2.0.0/16,"(263876, 13335, 2152, 25)"
262579,1.2.0.0/16,"(262579, 13335, 2152, 25)"
262171,1.2.0.0/16,"(262171, 13335, 2152, 25)"
216425,1.2.0.0/16,"(216425, 13335, 2152, 25)"
216237,1.2.0.0/16,"(216237, 13335, 2152, 25)"
216206,1.2.0.0/16,"(216206, 13335, 2152, 25)"
213563,1.2.0.0/16,"(213563, 13335, 2152, 25)"
213129,1.2.0.0/16,"(213129, 13335, 2152, 25)"
212772,1.2.0.0/16,"(212772, 13335, 2152, 25)"
212606,1.2.0.0/16,"(212606, 13335, 2152, 25)"
211964,1.2.0.0/16,"(211964, 13335, 2152, 25)"
211693,1.2.0.0/16,"(211693, 13335, 2152, 25)"
211644,1.2.0.0/16,"(211644, 13335, 2152, 25)"
211140,1.2.0.0/16,"(211140, 13335, 2152, 25)"
210356,1.2.0.0/16,"(210356, 13335, 2152, 25)"
209490,1.2.0.0/16,"(209490, 13335, 2152, 25)"
209242,1.2.0.0/16,"(209242, 13335, 2152, 25)"
209120,1.2.0.0/16,"(209120, 13335, 2152, 25)"
209103,1.2.0.0/16,"(209103, 13335, 2152, 25)"
209068,1.2.0.0/16,"(209068, 13335, 2152, 25)"
208140,1.2.0.0/16,"(208140, 13335, 2152, 25)"
207661,1.2.0.0/16,"(207661, 13335, 2152, 25)"
207354,1.2.0.0/16,"(207354, 13335, 2152, 25)"
206998,1.2.0.0/16,"(206998, 13335, 2152, 25)"
206587,1.2.0.0/16,"(206587, 13335, 2152, 25)"
204588,1.2.0.0/16,"(204588, 13335, 2152, 25)"
204341,1.2.0.0/16,"(204341, 13335, 2152, 25)"
204016,1.2.0.0/16,"(204016, 13335, 2152, 25)"
203491,1.2.0.0/16,"(203491, 13335, 2152, 25)"
202595,1.2.0.0/16,"(202595, 13335, 2152, 25)"
201755,1.2.0.0/16,"(201755, 13335, 2152, 25)"
201708,1.2.0.0/16,"(201708, 13335, 2152, 25)"
201651,1.2.0.0/16,"(201651, 13335, 2152, 25)"
201154,1.2.0.0/16,"(201154, 13335, 2152, 25)"
200963,1.2.0.0/16,"(200963, 13335, 2152, 25)"
200869,1.2.0.0/16,"(200869, 13335, 2152, 25)"
200692,1.2.0.0/16,"(200692, 13335, 2152, 25)"
199661,1.2.0.0/16,"(199661, 13335, 2152, 25)"
199535,1.2.0.0/16,"(199535, 13335, 2152, 25)"
198321,1.2.0.0/16,"(198321, 13335, 2152, 25)"
197788,1.2.0.0/16,"(197788, 13335, 2152, 25)"
197708,1.2.0.0/16,"(197708, 13335, 2152, 25)"
197387,1.2.0.0/16,"(197387, 13335, 2152, 25)"
197086,1.2.0.0/16,"(197086, 13335, 2152, 25)"
154204,1.2.0.0/16,"(154204, 13335, 2152, 25)"
152899,1.2.0.0/16,"(152899, 13335, 2152, 25)"
152695,1.2.0.0/16,"(152695, 13335, 2152, 25)"
152628,1.2.0.0/16,"(152628, 13335, 2152, 25)"
152594,1.2.0.0/16,"(152594, 13335, 2152, 25)"
152190,1.2.0.0/16,"(152190, 13335, 2152, 25)"
151398,1.2.0.0/16,"(151398, 13335, 2152, 25)"
147008,1.2.0.0/16,"(147008, 13335, 2152, 25)"
139886,1.2.0.0/16,"(139886, 13335, 2152, 25)"
138626,1.2.0.0/16,"(138626, 13335, 2152, 25)"
137973,1.2.0.0/16,"(137973, 13335, 2152, 25)"
137457,1.2.0.0/16,"(137457, 13335, 2152, 25)"
137456,1.2.0.0/16,"(137456, 13335, 2152, 25)"
137006,1.2.0.0/16,"(137006, 13335, 2152, 25)"
136271,1.2.0.0/16,"(136271, 13335, 2152, 25)"
135161,1.2.0.0/16,"(135161, 13335, 2152, 25)"
135160,1.2.0.0/16,"(135160, 13335, 2152, 25)"
134636,1.2.0.0/16,"(134636, 13335, 2152, 25)"
134589,1.2.0.0/16,"(134589, 13335, 2152, 25)"
134145,1.2.0.0/16,"(134145, 13335, 2152, 25)"
133860,1.2.0.0/16,"(133860, 13335, 2152, 25)"
133133,1.2.0.0/16,"(133133, 13335, 2152, 25)"
132693,1.2.0.0/16,"(132693, 13335, 2152, 25)"
131392,1.2.0.0/16,"(131392, 13335, 2152, 25)"
131254,1.2.0.0/16,"(131254, 13335, 2152, 25)"
63834,1.2.0.0/16,"(63834, 13335, 2152, 25)"
63418,1.2.0.0/16,"(63418, 13335, 2152, 25)"
63248,1.2.0.0/16,"(63248, 13335, 2152, 25)"
63185,1.2.0.0/16,"(63185, 13335, 2152, 25)"
62975,1.2.0.0/16,"(62975, 13335, 2152, 25)"
62881,1.2.0.0/16,"(62881, 13335, 2152, 25)"
62763,1.2.0.0/16,"(62763, 13335, 2152, 25)"
62588,1.2.0.0/16,"(62588, 13335, 2152, 25)"
62053,1.2.0.0/16,"(62053, 13335, 2152, 25)"
60933,1.2.0.0/16,"(60933, 13335, 2152, 25)"
60851,1.2.0.0/16,"(60851, 13335, 2152, 25)"
60100,1.2.0.0/16,"(60100, 13335, 2152, 25)"
59907,1.2.0.0/16,"(59907, 13335, 2152, 25)"
58654,1.2.0.0/16,"(58654, 13335, 2152, 25)"
56641,1.2.0.0/16,"(56641, 13335, 2152, 25)"
56289,1.2.0.0/16,"(56289, 13335, 2152, 25)"
56180,1.2.0.0/16,"(56180, 13335, 2152, 25)"
56026,1.2.0.0/16,"(56026, 13335, 2152, 25)"
55902,1.2.0.0/16,"(55902, 13335, 2152, 25)"
55834,1.2.0.0/16,"(55834, 13335, 2152, 25)"
55719,1.2.0.0/16,"(55719, 13335, 2152, 25)"
55304,1.2.0.0/16,"(55304, 13335, 2152, 25)"
54739,1.2.0.0/16,"(54739, 13335, 2152, 25)"
54732,1.2.0.0/16,"(54732, 13335, 2152, 25)"
54574,1.2.0.0/16,"(54574, 13335, 2152, 25)"
54537,1.2.0.0/16,"(54537, 13335, 2152, 25)"
54167,1.2.0.0/16,"(54167, 13335, 2152, 25)"
54023,1.2.0.0/16,"(54023, 13335, 2152, 25)"
53871,1.2.0.0/16,"(53871, 13335, 2152, 25)"
52672,1.2.0.0/16,"(52672, 13335, 2152, 25)"
50756,1.2.0.0/16,"(50756, 13335, 2152, 25)"
50330,1.2.0.0/16,"(50330, 13335, 2152, 25)"
50097,1.2.0.0/16,"(50097, 13335, 2152, 25)"
49036,1.2.0.0/16,"(49036, 13335, 2152, 25)"
48703,1.2.0.0/16,"(48703, 13335, 2152, 25)"
47340,1.2.0.0/16,"(47340, 13335, 2152, 25)"
46739,1.2.0.0/16,"(46739, 13335, 2152, 25)"
46469,1.2.0.0/16,"(46469, 13335, 2152, 25)"
46411,1.2.0.0/16,"(46411, 13335, 2152, 25)"
46362,1.2.0.0/16,"(46362, 13335, 2152, 25)"
45640,1.2.0.0/16,"(45640, 13335, 2152, 25)"
44763,1.2.0.0/16,"(44763, 13335, 2152, 25)"
44594,1.2.0.0/16,"(44594, 13335, 2152, 25)"
43947,1.2.0.0/16,"(43947, 13335, 2152, 25)"
43916,1.2.0.0/16,"(43916, 13335, 2152, 25)"
43868,1.2.0.0/16,"(43868, 13335, 2152, 25)"
43570,1.2.0.0/16,"(43570, 13335, 2152, 25)"
42479,1.2.0.0/16,"(42479, 13335, 2152, 25)"
41821,1.2.0.0/16,"(41821, 13335, 2152, 25)"
41077,1.2.0.0/16,"(41077, 13335, 2152, 25)"
40809,1.2.0.0/16,"(40809, 13335, 2152, 25)"
40680,1.2.0.0/16,"(40680, 13335, 2152, 25)"
40113,1.2.0.0/16,"(40113, 13335, 2152, 25)"
39715,1.2.0.0/16,"(39715, 13335, 2152, 25)"
38981,1.2.0.0/16,"(38981, 13335, 2152, 25)"
37121,1.2.0.0/16,"(37121, 13335, 2152, 25)"
36590,1.2.0.0/16,"(36590, 13335, 2152, 25)"
36376,1.2.0.0/16,"(36376, 13335, 2152, 25)"
36116,1.2.0.0/16,"(36116, 13335, 2152, 25)"
34697,1.2.0.0/16,"(34697, 13335, 2152, 25)"
34451,1.2.0.0/16,"(34451, 13335, 2152, 25)"
33198,1.2.0.0/16,"(33198, 13335, 2152, 25)"
33174,1.2.0.0/16,"(33174, 13335, 2152, 25)"
32368,1.2.0.0/16,"(32368, 13335, 2152, 25)"
31799,1.2.0.0/16,"(31799, 13335, 2152, 25)"
31721,1.2.0.0/16,"(31721, 13335, 2152, 25)"
31202,1.2.0.0/16,"(31202, 13335, 2152, 25)"
30905,1.2.0.0/16,"(30905, 13335, 2152, 25)"
30572,1.2.0.0/16,"(30572, 13335, 2152, 25)"
30276,1.2.0.0/16,"(30276, 13335, 2152, 25)"
30006,1.2.0.0/16,"(30006, 13335, 2152, 25)"
29938,1.2.0.0/16,"(29938, 13335, 2152, 25)"
29721,1.2.0.0/16,"(29721, 13335, 2152, 25)"
28853,1.2.0.0/16,"(28853, 13335, 2152, 25)"
28680,1.2.0.0/16,"(28680, 13335, 2152, 25)"
27811,1.2.0.0/16,"(27811, 13335, 2152, 25)"
26534,1.2.0.0/16,"(26534, 13335, 2152, 25)"
25889,1.2.0.0/16,"(25889, 13335, 2152, 25)"
25418,1.2.0.0/16,"(25418, 13335, 2152, 25)"
24984,1.2.0.0/16,"(24984, 13335, 2152, 25)"
24318,1.2.0.0/16,"(24318, 13335, 2152, 25)"
24226,1.2.0.0/16,"(24226, 13335, 2152, 25)"
23891,1.2.0.0/16,"(23891, 13335, 2152, 25)"
23235,1.2.0.0/16,"(23235, 13335, 2152, 25)"
23230,1.2.0.0/16,"(23230, 13335, 2152, 25)"
23145,1.2.0.0/16,"(23145, 13335, 2152, 25)"
23046,1.2.0.0/16,"(23046, 13335, 2152, 25)"
22803,1.2.0.0/16,"(22803, 13335, 2152, 25)"
22445,1.2.0.0/16,"(22445, 13335, 2152, 25)"
22328,1.2.0.0/16,"(22328, 13335, 2152, 25)"
22177,1.2.0.0/16,"(22177, 13335, 2152, 25)"
21765,1.2.0.0/16,"(21765, 13335, 2152, 25)"
21673,1.2.0.0/16,"(21673, 13335, 2152, 25)"
21203,1.2.0.0/16,"(21203, 13335, 2152, 25)"
20748,1.2.0.0/16,"(20748, 13335, 2152, 25)"
20577,1.2.0.0/16,"(20577, 13335, 2152, 25)"
20285,1.2.0.0/16,"(20285, 13335, 2152, 25)"
20200,1.2.0.0/16,"(20200, 13335, 2152, 25)"
20139,1.2.0.0/16,"(20139, 13335, 2152, 25)"
20085,1.2.0.0/16,"(20085, 13335, 2152, 25)"
19993,1.2.0.0/16,"(19993, 13335, 2152, 25)"
